text,cantica,canto,line
"dirotti brievemente”, mi rispuose,",Inferno,2,86
“perch’ i’ non temo di venir qua entro.,Inferno,2,87
Temer si dee di sole quelle cose,Inferno,2,88
c’hanno potenza di fare altrui male;,Inferno,2,89
"de l’altre no, ché non son paurose.",Inferno,2,90
"I’ son fatta da Dio, sua mercé, tale,",Inferno,2,91
"che la vostra miseria non mi tange,",Inferno,2,92
né fiamma d’esto ’ncendio non m’assale.,Inferno,2,93
Donna è gentil nel ciel che si compiange,Inferno,2,94
"di questo ’mpedimento ov’ io ti mando,",Inferno,2,95
sì che duro giudicio là sù frange.,Inferno,2,96
Questa chiese Lucia in suo dimando,Inferno,2,97
e disse:—Or ha bisogno il tuo fedele,Inferno,2,98
"di te, e io a te lo raccomando—.",Inferno,2,99
"Lucia, nimica di ciascun crudele,",Inferno,2,100
"si mosse, e venne al loco dov’ i’ era,",Inferno,2,101
che mi sedea con l’antica Rachele.,Inferno,2,102
"Disse:—Beatrice, loda di Dio vera,",Inferno,2,103
"ché non soccorri quei che t’amò tanto,",Inferno,2,104
ch’uscì per te de la volgare schiera?,Inferno,2,105
"Non odi tu la pieta del suo pianto,",Inferno,2,106
non vedi tu la morte che ’l combatte,Inferno,2,107
su la fiumana ove ’l mar non ha vanto?—.,Inferno,2,108
Al mondo non fur mai persone ratte,Inferno,2,109
"a far lor pro o a fuggir lor danno,",Inferno,2,110
"com’ io, dopo cotai parole fatte,",Inferno,2,111
"venni qua giù del mio beato scanno,",Inferno,2,112
"fidandomi del tuo parlare onesto,",Inferno,2,113
ch’onora te e quei ch’udito l’hanno”.,Inferno,2,114
"Poscia che m’ebbe ragionato questo,",Inferno,2,115
"li occhi lucenti lagrimando volse,",Inferno,2,116
per che mi fece del venir più presto.,Inferno,2,117
E venni a te così com’ ella volse:,Inferno,2,118
d’inanzi a quella fiera ti levai,Inferno,2,119
che del bel monte il corto andar ti tolse.,Inferno,2,120
"Dunque: che è? perché, perché restai,",Inferno,2,121
"perché tanta viltà nel core allette,",Inferno,2,122
"perché ardire e franchezza non hai,",Inferno,2,123
poscia che tai tre donne benedette,Inferno,2,124
"curan di te ne la corte del cielo,",Inferno,2,125
e ’l mio parlar tanto ben ti promette?».,Inferno,2,126
Quali fioretti dal notturno gelo,Inferno,2,127
"chinati e chiusi, poi che ’l sol li ’mbianca,",Inferno,2,128
"si drizzan tutti aperti in loro stelo,",Inferno,2,129
"tal mi fec’ io di mia virtude stanca,",Inferno,2,130
"e tanto buono ardire al cor mi corse,",Inferno,2,131
ch’i’ cominciai come persona franca:,Inferno,2,132
«Oh pietosa colei che mi soccorse!,Inferno,2,133
e te cortese ch’ubidisti tosto,Inferno,2,134
a le vere parole che ti porse!,Inferno,2,135
Tu m’hai con disiderio il cor disposto,Inferno,2,136
"sì al venir con le parole tue,",Inferno,2,137
ch’i’ son tornato nel primo proposto.,Inferno,2,138
"Or va, ch’un sol volere è d’ambedue:",Inferno,2,139
"tu duca, tu segnore e tu maestro».",Inferno,2,140
"Così li dissi; e poi che mosso fue,",Inferno,2,141
intrai per lo cammino alto e silvestro.,Inferno,2,142
"‘Per me si va ne la città dolente,",Inferno,3,1
"per me si va ne l’etterno dolore,",Inferno,3,2
per me si va tra la perduta gente.,Inferno,3,3
Giustizia mosse il mio alto fattore;,Inferno,3,4
"fecemi la divina podestate,",Inferno,3,5
la somma sapïenza e ’l primo amore.,Inferno,3,6
Dinanzi a me non fuor cose create,Inferno,3,7
"se non etterne, e io etterno duro.",Inferno,3,8
"Lasciate ogne speranza, voi ch’intrate’.",Inferno,3,9
Queste parole di colore oscuro,Inferno,3,10
vid’ ïo scritte al sommo d’una porta;,Inferno,3,11
"per ch’io: «Maestro, il senso lor m’è duro».",Inferno,3,12
"Ed elli a me, come persona accorta:",Inferno,3,13
«Qui si convien lasciare ogne sospetto;,Inferno,3,14
ogne viltà convien che qui sia morta.,Inferno,3,15
Noi siam venuti al loco ov’ i’ t’ho detto,Inferno,3,16
che tu vedrai le genti dolorose,Inferno,3,17
c’hanno perduto il ben de l’intelletto».,Inferno,3,18
E poi che la sua mano a la mia puose,Inferno,3,19
"con lieto volto, ond’ io mi confortai,",Inferno,3,20
mi mise dentro a le segrete cose.,Inferno,3,21
"Quivi sospiri, pianti e alti guai",Inferno,3,22
"risonavan per l’aere sanza stelle,",Inferno,3,23
per ch’io al cominciar ne lagrimai.,Inferno,3,24
"Diverse lingue, orribili favelle,",Inferno,3,25
"parole di dolore, accenti d’ira,",Inferno,3,26
"voci alte e fioche, e suon di man con elle",Inferno,3,27
"facevano un tumulto, il qual s’aggira",Inferno,3,28
"sempre in quell’ aura sanza tempo tinta,",Inferno,3,29
come la rena quando turbo spira.,Inferno,3,30
"E io ch’avea d’error la testa cinta,",Inferno,3,31
"dissi: «Maestro, che è quel ch’i’ odo?",Inferno,3,32
e che gent’ è che par nel duol sì vinta?».,Inferno,3,33
Ed elli a me: «Questo misero modo,Inferno,3,34
tegnon l’anime triste di coloro,Inferno,3,35
che visser sanza ’nfamia e sanza lodo.,Inferno,3,36
Mischiate sono a quel cattivo coro,Inferno,3,37
de li angeli che non furon ribelli,Inferno,3,38
"né fur fedeli a Dio, ma per sé fuoro.",Inferno,3,39
"Caccianli i ciel per non esser men belli,",Inferno,3,40
"né lo profondo inferno li riceve,",Inferno,3,41
ch’alcuna gloria i rei avrebber d’elli».,Inferno,3,42
"E io: «Maestro, che è tanto greve",Inferno,3,43
a lor che lamentar li fa sì forte?».,Inferno,3,44
Rispuose: «Dicerolti molto breve.,Inferno,3,45
"Questi non hanno speranza di morte,",Inferno,3,46
"e la lor cieca vita è tanto bassa,",Inferno,3,47
che ’nvidïosi son d’ogne altra sorte.,Inferno,3,48
Fama di loro il mondo esser non lassa;,Inferno,3,49
misericordia e giustizia li sdegna:,Inferno,3,50
"non ragioniam di lor, ma guarda e passa».",Inferno,3,51
"E io, che riguardai, vidi una ’nsegna",Inferno,3,52
"che girando correva tanto ratta,",Inferno,3,53
che d’ogne posa mi parea indegna;,Inferno,3,54
e dietro le venìa sì lunga tratta,Inferno,3,55
"di gente, ch’i’ non averei creduto",Inferno,3,56
che morte tanta n’avesse disfatta.,Inferno,3,57
"Poscia ch’io v’ebbi alcun riconosciuto,",Inferno,3,58
vidi e conobbi l’ombra di colui,Inferno,3,59
che fece per viltade il gran rifiuto.,Inferno,3,60
Incontanente intesi e certo fui,Inferno,3,61
"che questa era la setta d’i cattivi,",Inferno,3,62
a Dio spiacenti e a’ nemici sui.,Inferno,3,63
"Questi sciaurati, che mai non fur vivi,",Inferno,3,64
erano ignudi e stimolati molto,Inferno,3,65
da mosconi e da vespe ch’eran ivi.,Inferno,3,66
"Elle rigavan lor di sangue il volto,",Inferno,3,67
"che, mischiato di lagrime, a’ lor piedi",Inferno,3,68
da fastidiosi vermi era ricolto.,Inferno,3,69
"E poi ch’a riguardar oltre mi diedi,",Inferno,3,70
vidi genti a la riva d’un gran fiume;,Inferno,3,71
"per ch’io dissi: «Maestro, or mi concedi",Inferno,3,72
"ch’i’ sappia quali sono, e qual costume",Inferno,3,73
"le fa di trapassar parer sì pronte,",Inferno,3,74
com’ i’ discerno per lo fioco lume».,Inferno,3,75
Ed elli a me: «Le cose ti fier conte,Inferno,3,76
quando noi fermerem li nostri passi,Inferno,3,77
su la trista riviera d’Acheronte».,Inferno,3,78
"Allor con li occhi vergognosi e bassi,",Inferno,3,79
"temendo no ’l mio dir li fosse grave,",Inferno,3,80
infino al fiume del parlar mi trassi.,Inferno,3,81
Ed ecco verso noi venir per nave,Inferno,3,82
"un vecchio, bianco per antico pelo,",Inferno,3,83
"gridando: «Guai a voi, anime prave!",Inferno,3,84
Non isperate mai veder lo cielo:,Inferno,3,85
i’ vegno per menarvi a l’altra riva,Inferno,3,86
"ne le tenebre etterne, in caldo e ’n gelo.",Inferno,3,87
"E tu che se’ costì, anima viva,",Inferno,3,88
pàrtiti da cotesti che son morti».,Inferno,3,89
"Ma poi che vide ch’io non mi partiva,",Inferno,3,90
"disse: «Per altra via, per altri porti",Inferno,3,91
"verrai a piaggia, non qui, per passare:",Inferno,3,92
più lieve legno convien che ti porti».,Inferno,3,93
"E ’l duca lui: «Caron, non ti crucciare:",Inferno,3,94
vuolsi così colà dove si puote,Inferno,3,95
"ciò che si vuole, e più non dimandare».",Inferno,3,96
Quinci fuor quete le lanose gote,Inferno,3,97
"al nocchier de la livida palude,",Inferno,3,98
che ’ntorno a li occhi avea di fiamme rote.,Inferno,3,99
"Ma quell’ anime, ch’eran lasse e nude,",Inferno,3,100
"cangiar colore e dibattero i denti,",Inferno,3,101
ratto che ’nteser le parole crude.,Inferno,3,102
"Bestemmiavano Dio e lor parenti,",Inferno,3,103
l’umana spezie e ’l loco e ’l tempo e ’l seme,Inferno,3,104
di lor semenza e di lor nascimenti.,Inferno,3,105
"Poi si ritrasser tutte quante insieme,",Inferno,3,106
"forte piangendo, a la riva malvagia",Inferno,3,107
ch’attende ciascun uom che Dio non teme.,Inferno,3,108
"Caron dimonio, con occhi di bragia",Inferno,3,109
"loro accennando, tutte le raccoglie;",Inferno,3,110
batte col remo qualunque s’adagia.,Inferno,3,111
Come d’autunno si levan le foglie,Inferno,3,112
"l’una appresso de l’altra, fin che ’l ramo",Inferno,3,113
"vede a la terra tutte le sue spoglie,",Inferno,3,114
similemente il mal seme d’Adamo,Inferno,3,115
"gittansi di quel lito ad una ad una,",Inferno,3,116
per cenni come augel per suo richiamo.,Inferno,3,117
"Così sen vanno su per l’onda bruna,",Inferno,3,118
"e avanti che sien di là discese,",Inferno,3,119
anche di qua nuova schiera s’auna.,Inferno,3,120
"«Figliuol mio», disse ’l maestro cortese,",Inferno,3,121
«quelli che muoion ne l’ira di Dio,Inferno,3,122
tutti convegnon qui d’ogne paese;,Inferno,3,123
"e pronti sono a trapassar lo rio,",Inferno,3,124
"ché la divina giustizia li sprona,",Inferno,3,125
sì che la tema si volve in disio.,Inferno,3,126
Quinci non passa mai anima buona;,Inferno,3,127
"e però, se Caron di te si lagna,",Inferno,3,128
ben puoi sapere omai che ’l suo dir suona».,Inferno,3,129
"Finito questo, la buia campagna",Inferno,3,130
"tremò sì forte, che de lo spavento",Inferno,3,131
la mente di sudore ancor mi bagna.,Inferno,3,132
"La terra lagrimosa diede vento,",Inferno,3,133
che balenò una luce vermiglia,Inferno,3,134
la qual mi vinse ciascun sentimento;,Inferno,3,135
e caddi come l’uom cui sonno piglia.,Inferno,3,136
Ruppemi l’alto sonno ne la testa,Inferno,4,1
"un greve truono, sì ch’io mi riscossi",Inferno,4,2
come persona ch’è per forza desta;,Inferno,4,3
"e l’occhio riposato intorno mossi,",Inferno,4,4
"dritto levato, e fiso riguardai",Inferno,4,5
per conoscer lo loco dov’ io fossi.,Inferno,4,6
Vero è che ’n su la proda mi trovai,Inferno,4,7
de la valle d’abisso dolorosa,Inferno,4,8
che ’ntrono accoglie d’infiniti guai.,Inferno,4,9
Oscura e profonda era e nebulosa,Inferno,4,10
"tanto che, per ficcar lo viso a fondo,",Inferno,4,11
io non vi discernea alcuna cosa.,Inferno,4,12
"«Or discendiam qua giù nel cieco mondo»,",Inferno,4,13
cominciò il poeta tutto smorto.,Inferno,4,14
"«Io sarò primo, e tu sarai secondo».",Inferno,4,15
"E io, che del color mi fui accorto,",Inferno,4,16
"dissi: «Come verrò, se tu paventi",Inferno,4,17
che suoli al mio dubbiare esser conforto?».,Inferno,4,18
Ed elli a me: «L’angoscia de le genti,Inferno,4,19
"che son qua giù, nel viso mi dipigne",Inferno,4,20
quella pietà che tu per tema senti.,Inferno,4,21
"Andiam, ché la via lunga ne sospigne».",Inferno,4,22
Così si mise e così mi fé intrare,Inferno,4,23
nel primo cerchio che l’abisso cigne.,Inferno,4,24
"Quivi, secondo che per ascoltare,",Inferno,4,25
non avea pianto mai che di sospiri,Inferno,4,26
che l’aura etterna facevan tremare;,Inferno,4,27
"ciò avvenia di duol sanza martìri,",Inferno,4,28
"ch’avean le turbe, ch’eran molte e grandi,",Inferno,4,29
d’infanti e di femmine e di viri.,Inferno,4,30
Lo buon maestro a me: «Tu non dimandi,Inferno,4,31
che spiriti son questi che tu vedi?,Inferno,4,32
"Or vo’ che sappi, innanzi che più andi,",Inferno,4,33
"ch’ei non peccaro; e s’elli hanno mercedi,",Inferno,4,34
"non basta, perché non ebber battesmo,",Inferno,4,35
ch’è porta de la fede che tu credi;,Inferno,4,36
"e s’e’ furon dinanzi al cristianesmo,",Inferno,4,37
non adorar debitamente a Dio:,Inferno,4,38
e di questi cotai son io medesmo.,Inferno,4,39
"Per tai difetti, non per altro rio,",Inferno,4,40
"semo perduti, e sol di tanto offesi",Inferno,4,41
che sanza speme vivemo in disio».,Inferno,4,42
"Gran duol mi prese al cor quando lo ’ntesi,",Inferno,4,43
però che gente di molto valore,Inferno,4,44
conobbi che ’n quel limbo eran sospesi.,Inferno,4,45
"«Dimmi, maestro mio, dimmi, segnore»,",Inferno,4,46
comincia’ io per voler esser certo,Inferno,4,47
di quella fede che vince ogne errore:,Inferno,4,48
"«uscicci mai alcuno, o per suo merto",Inferno,4,49
"o per altrui, che poi fosse beato?».",Inferno,4,50
"E quei che ’ntese il mio parlar coverto,",Inferno,4,51
"rispuose: «Io era nuovo in questo stato,",Inferno,4,52
"quando ci vidi venire un possente,",Inferno,4,53
con segno di vittoria coronato.,Inferno,4,54
"Trasseci l’ombra del primo parente,",Inferno,4,55
"d’Abèl suo figlio e quella di Noè,",Inferno,4,56
di Moïsè legista e ubidente;,Inferno,4,57
"Abraàm patrïarca e Davìd re,",Inferno,4,58
Israèl con lo padre e co’ suoi nati,Inferno,4,59
"e con Rachele, per cui tanto fé,",Inferno,4,60
"e altri molti, e feceli beati.",Inferno,4,61
"E vo’ che sappi che, dinanzi ad essi,",Inferno,4,62
spiriti umani non eran salvati».,Inferno,4,63
"Non lasciavam l’andar perch’ ei dicessi,",Inferno,4,64
"ma passavam la selva tuttavia,",Inferno,4,65
"la selva, dico, di spiriti spessi.",Inferno,4,66
Non era lunga ancor la nostra via,Inferno,4,67
"di qua dal sonno, quand’ io vidi un foco",Inferno,4,68
ch’emisperio di tenebre vincia.,Inferno,4,69
"Di lungi n’eravamo ancora un poco,",Inferno,4,70
ma non sì ch’io non discernessi in parte,Inferno,4,71
ch’orrevol gente possedea quel loco.,Inferno,4,72
"«O tu ch’onori scïenzïa e arte,",Inferno,4,73
"questi chi son c’hanno cotanta onranza,",Inferno,4,74
che dal modo de li altri li diparte?».,Inferno,4,75
E quelli a me: «L’onrata nominanza,Inferno,4,76
"che di lor suona sù ne la tua vita,",Inferno,4,77
grazïa acquista in ciel che sì li avanza».,Inferno,4,78
Intanto voce fu per me udita:,Inferno,4,79
«Onorate l’altissimo poeta;,Inferno,4,80
"l’ombra sua torna, ch’era dipartita».",Inferno,4,81
"Poi che la voce fu restata e queta,",Inferno,4,82
vidi quattro grand’ ombre a noi venire:,Inferno,4,83
sembianz’ avevan né trista né lieta.,Inferno,4,84
Lo buon maestro cominciò a dire:,Inferno,4,85
"«Mira colui con quella spada in mano,",Inferno,4,86
che vien dinanzi ai tre sì come sire:,Inferno,4,87
quelli è Omero poeta sovrano;,Inferno,4,88
l’altro è Orazio satiro che vene;,Inferno,4,89
"Ovidio è ’l terzo, e l’ultimo Lucano.",Inferno,4,90
Però che ciascun meco si convene,Inferno,4,91
"nel nome che sonò la voce sola,",Inferno,4,92
"fannomi onore, e di ciò fanno bene».",Inferno,4,93
Così vid’ i’ adunar la bella scola,Inferno,4,94
di quel segnor de l’altissimo canto,Inferno,4,95
che sovra li altri com’ aquila vola.,Inferno,4,96
